Estado,PwG1,PwG2,G1+G2,Slider
1,778637.4437806269,778637.4437806269,1557274.8875612537,-0.09380539571974703
2,10159177.01575533,10159177.01575533,20318354.03151066,0.0
3,15130895.29298751,15130895.29298751,30261790.58597502,0.049717182772321816
4,21806891.61168709,21806891.61168709,43613783.22337418,0.11647714595931762
5,24771402.39605356,24771402.39605356,49542804.79210712,0.1461222538029823
